PID;sigla;Version;Variant;title;notbefore;notafter
pbn-lat-15637;P6;;; Paris, Bibliothèque nationale de France, Lat. 15637;1200.0;1299.0
pbn-nal-836;P7;;; Paris, Bibliothèque nationale de France, NAL 836;1240.0;1240.0
pbn-lat-3438;P9;;; Paris, Bibliothèque nationale de France, Lat. 3438;1225.0;1274.0
pab-i-f-10;Pa;;; Palermo, Biblioteca centrale della Regione siciliana Alberto Bombace, BCRS, I.F.10;1275.0;1325.0
pkc-1066;Ph2;;; Philadelphia, University of Pennsylvania, Kislak Center for Special Collections, MS Roll 1066;1461.0;1499.0
pds-nd;Pi;;; Pisa, Soprintendenza per i Beni Ambientali, Architettonici, Artistici e Storici;1200.0;1299.0
pgs-215;Po;;; Pommersfelden, Gräflich Schönbornsche Schlossbibliothek, Cod. 215;1323.0;1356.0
pgs-321;Po1;;; Pommersfelden, Gräflich Schönbornsche Schlossbibliothek, Cod. 321;1180.0;
pnk-iii-e-5;Pr;;; Praha, Národní Knihova, III.E.5;1300.0;1350.0
pnk-xiv-a-8;Pr1;;; Praha, Národní Knihovna, XIV.A.8;;
pnk-xxiii-f-204;Pr2;;; Praha, Národní Knihova, XXIII.F.204;1420.0;1500.0
rsa-65-19;Rz;;; Retz, Stadtarchiv, Cod. 65/19;1450.0;1469.0
sla-rp-226;S1;;; Salzburg, Landesarchiv, RP 226;1300.0;1399.0
scl-60;Sa;;; Salisbury, Cathedral Library, Ms. 60;1200.0;1299.0
sss-24;Sb;;; Shrewsbury, Shrewsbury School, MS 24;1180.0;1299.0
hhb-fr-23;Sh;;; s´-Heerenberg, Huis Bergh, Ms. fr. 23 (Inv.No. 214);1270.0;1289.0
sps-cpl-158;Sl;;; Schlägl, Prämonstratenserstift, Cpl. 158 (Vielhaber-Indra 9);1200.0;1399.0
sdb-f-20;Ss;;; Strängnas, Domkyrkobiblioteket, Ms. F 20;1300.0;1399.0
swl-theol-phil-2-122;St;;; Stuttgart, Württembergische Landesbibliothek, Cod. theol. et phil. 2° 122;1459.0;1459.0
swl-hb-v-90;St2;;; Stuttgart, Württembergische Landesbibliothek, HB V 90;1476.0;1478.0
tbm-42;T;;; Tours, Bibliothèque Municipale, Ms. 42;1200.0;1299.0
tna-v-325;Tg;;; Tongerlo, Norbertijnenabdij Archief, Sectie V, nr. 325;1473.0;
tbu-rps-75-iii;Tn;;; Torun, Biblioteka Uniwersytecksa, Rps 75/III;1230.0;1320.0
tbv-nd;To;;; Tournai, Bibliothèque de Ville;1180.0;
uub-c-129;U;;; Uppsala, Universitetsbiblioteket, Ms. C 129;1200.0;1299.0
uun-261;Ut;;; Utrecht, Universiteitsbibliotheek, Ms 261 (3.C.15);1475.0;1499.0
vba-vat-lat-13015;V4;;; Città del Vaticano, Biblioteca Apostolica Vaticana, Vat. Lat. 13015;1275.0;1299.0
vba-bar-lat-9925;V5;;; Città del Vaticano, Biblioteca Apostolica Vaticana, Barb. Lat. 9925;1300.0;1399.0
vbm-385;Va;;; Valenciennes, Bibliothèque Municipale, Ms. 385;1200.0;1399.0
vbc-fp-nd;Ve;;; Vercelli, Biblioteca Capitolare, Rotoli figurati, 3;1250.0;1299.0
won-3332;W11;;; Wien, Österreichische Nationalbibliothek, Cod. 3332;1448.0;1448.0
won-3294;W13;;; Wien, Österreichische Nationalbibliothek, Cod. 3294;1400.0;1499.0
wdk-140-110;W14;;; Wien, Dominikanerkonvent, Cod. 140/110;1400.0;1499.0
won-813;W2;;; Wien, Österreichische Nationalbibliothek, Cod. 813;1200.0;1299.0
won-1548;W4;;; Wien, Österreichische Nationalbibliothek, Cod. 1548;1200.0;1399.0
won-435;W6;;; Wien, Österreichische Nationalbibliothek, Cod. 435;1310.0;1310.0
won-505;W8;;; Wien, Österreichische Nationalbibliothek, Cod. 505;1300.0;1349.0
won-4535;W9;;; Wien, Österreichische Nationalbibliothek, Cod. 4535;1402.0;1402.0
wha-fol-70;We;;; Weimar, Herzogin Anna Amalia Bibliothek, Fol. 70;1225.0;1274.0
whb-guelf-39-1-aug-2;Wf;;; Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf. 39.1 Aug. 2°;1200.0;1399.0
whb-305-bla;Wf1;;; Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf. 305 Blank.;1200.0;1399.0
wha-guelf-360-helm;Wf3;;; Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf. 360 Helmst.;1475.0;1499.0
wwc-14b;Wi;;; Winchester, Winchester College, MS 14B;1200.0;1299.0
wcl-342;Wo;;; Worcester, Cathedral Library, Ms. 342;1225.0;1274.0
wbu-i-f-102;Wr;;; Wroclaw, Biblioteka Uniwersytecksa, I F 102 (Ms. 107);1200.0;1250.0
yml-add-256;Y;;; York, Minster Library, Add. 256;1375.0;1399.0
yml-xvi-q-14;Y1;;; York, Minster Library, XVI.Q.14;1250.0;1299.0
zzb-a-135;Z2;;; Zürich, Zentralbibliothek, Ms. A 135;1400.0;1499.0
